field_id,availability,stability,private,value_type,base_type,item_type,instanced,arrayed,sexed,units,main_category,encoding_id,instance_id,instance_min,instance_max,array_min,array_max,debut,version,num_participants,item_count
118,0,0,1,11,0,0,1,0,0,day-of-month,100072,0,2,0,0,0,0,2012-01-05,2012-01-06,279605,279605
120,0,0,0,21,11,0,1,0,0,,100072,100258,2,0,2,0,0,2012-01-05,2016-11-03,501634,533671
129,0,0,0,11,0,0,1,0,0,metre-grid,100072,170,2,0,2,0,0,2012-01-05,2017-11-02,452278,481086
130,0,0,0,11,0,0,1,0,0,metre-grid,100072,170,2,0,2,0,0,2012-01-05,2017-11-02,452278,481086
132,0,0,1,21,11,0,1,0,0,,100073,2,2,0,3,0,0,2012-01-05,2020-03-19,343489,393125
134,0,0,0,11,0,0,1,0,0,,100074,0,2,0,3,0,0,2012-01-05,2020-03-19,501642,568181
135,0,0,0,11,0,0,1,0,0,,100074,0,2,0,3,0,0,2012-01-05,2020-03-19,501642,568181
136,0,0,0,11,0,0,1,0,0,,100076,0,2,0,3,0,0,2012-01-05,2020-03-19,501642,568181
137,0,0,0,11,0,0,1,0,0,,100075,0,2,0,3,0,0,2012-01-05,2020-03-19,501642,568181
146,0,0,1,11,0,0,1,0,0,day-of-month,100072,0,2,0,0,0,0,2012-01-05,2012-01-06,255927,255927
189,0,0,0,31,0,0,0,0,0,,100094,0,0,0,0,0,0,2012-01-05,2012-01-30,501869,501869
190,0,3,0,21,11,0,0,0,0,,2,1965,0,0,0,0,0,2017-05-24,2017-05-24,1298,1298
191,0,3,0,51,0,0,0,0,0,,2,0,0,0,0,0,0,2017-05-24,2017-05-24,1298,1298
200,0,0,0,51,0,0,0,0,0,,100023,0,0,0,0,0,0,2012-01-05,2017-01-23,502490,502490
393,0,0,0,21,41,0,0,0,0,,100023,1200,0,0,0,0,0,2012-01-05,2012-01-06,502490,502490
396,0,0,0,11,0,0,1,1,0,,100030,0,2,0,3,1,3,2012-01-05,2020-03-19,498742,1168119
397,0,0,0,11,0,0,1,1,0,,100030,0,2,0,3,1,2,2012-01-05,2020-03-19,498742,1134530
398,0,0,0,11,0,0,1,1,0,,100030,0,2,0,3,1,3,2012-01-05,2020-03-19,498742,1168119
399,0,0,0,11,0,0,1,1,0,,100030,0,2,0,3,1,3,2012-01-05,2020-03-19,498742,1168119
400,0,0,0,11,0,0,1,1,0,deciseconds,100030,402,2,0,3,1,3,2012-01-05,2020-03-19,498742,1168119
401,0,0,0,21,11,0,1,1,0,,100032,92,2,0,3,0,11,2012-01-05,2020-03-19,496607,6780456
402,0,0,0,21,11,0,1,1,0,,100032,92,2,0,3,0,11,2012-01-05,2020-03-19,496607,6780456
403,0,0,0,11,0,0,1,1,0,,100032,0,2,0,3,0,11,2012-01-05,2020-03-19,496607,6780456
404,0,0,0,11,0,0,1,1,0,milliseconds,100032,0,2,0,3,0,11,2012-01-05,2020-03-19,494247,3405005
630,0,0,0,11,0,0,1,0,0,deciseconds,152,0,2,0,3,0,0,2012-01-05,2020-03-19,501656,573816
670,0,0,0,21,11,0,1,0,0,,100066,100286,2,0,3,0,0,2012-01-05,2020-03-19,501646,573806
680,0,0,0,21,11,0,1,0,0,,100066,100287,2,0,3,0,0,2012-01-05,2020-03-19,500268,572322
699,0,0,0,11,0,0,1,0,0,years,100066,100290,2,0,3,0,0,2012-01-05,2020-03-19,501642,573802
709,0,0,0,11,0,0,1,0,0,people,100066,100291,2,0,3,0,0,2012-01-05,2020-03-19,500264,572318
728,0,0,0,21,11,0,1,0,0,,100066,100293,2,0,3,0,0,2012-01-05,2020-03-19,500264,572318
738,0,0,0,21,11,0,1,0,0,,100066,100294,2,0,3,0,0,2012-01-05,2020-03-19,497396,568565
757,0,0,0,11,0,0,1,0,0,years,100064,100290,2,0,3,0,0,2012-01-05,2020-03-19,288420,315042
767,0,0,0,11,0,0,1,0,0,hours,100064,100291,2,0,3,0,0,2012-01-05,2020-03-19,288421,315044
777,0,0,0,11,0,0,1,0,0,times,100064,100298,2,0,3,0,0,2012-01-05,2020-03-19,286445,312709
796,0,0,0,11,0,0,1,0,0,miles,100064,100300,2,0,3,0,0,2012-01-05,2020-03-19,267682,290664
806,0,0,0,21,11,0,1,0,0,,100064,100301,2,0,3,0,0,2012-01-05,2020-03-19,288421,315044
816,0,0,0,21,11,0,1,0,0,,100064,100301,2,0,3,0,0,2012-01-05,2020-03-19,288421,315044
826,0,0,0,21,11,0,1,0,0,,100064,100301,2,0,3,0,0,2012-01-05,2020-03-19,288421,315044
845,0,0,0,11,0,0,1,0,0,years,100063,100306,2,0,2,0,0,2012-01-05,2016-11-03,337402,354346
864,0,0,0,11,0,0,1,0,0,days/week,100054,100307,2,0,3,0,0,2012-01-05,2020-03-19,501635,573795
874,0,0,0,11,0,0,1,0,0,minutes/day,100054,100291,2,0,3,0,0,2012-01-05,2020-03-19,480091,548567
884,0,0,0,11,0,0,1,0,0,days/week,100054,100291,2,0,3,0,0,2012-01-05,2020-03-19,501631,573791
894,0,0,0,11,0,0,1,0,0,minutes/day,100054,100291,2,0,3,0,0,2012-01-05,2020-03-19,418106,475564
904,0,0,0,11,0,0,1,0,0,days/week,100054,100291,2,0,3,0,0,2012-01-05,2020-03-19,501631,573791
914,0,0,0,11,0,0,1,0,0,minutes/day,100054,100291,2,0,3,0,0,2012-01-05,2020-03-19,304634,343009
924,0,0,0,21,11,0,1,0,0,,100054,100313,2,0,3,0,0,2012-01-05,2020-03-19,499740,571761
943,0,0,0,21,11,0,1,0,0,,100054,100314,2,0,3,0,0,2012-01-05,2020-03-19,496873,568010
971,0,0,0,21,11,0,1,0,0,,100054,100317,2,0,3,0,0,2012-01-05,2020-03-19,359812,407966
981,0,0,0,21,11,0,1,0,0,,100054,100318,2,0,3,0,0,2012-01-05,2020-03-19,359812,407966
991,0,0,0,21,11,0,1,0,0,,100054,100317,2,0,3,0,0,2012-01-05,2020-03-19,53686,58753
1001,0,0,0,21,11,0,1,0,0,,100054,100318,2,0,3,0,0,2012-01-05,2020-03-19,53686,58753
1011,0,0,0,21,11,0,1,0,0,,100054,100317,2,0,3,0,0,2012-01-05,2020-03-19,260832,289641
1021,0,0,0,21,11,0,1,0,0,,100054,100318,2,0,3,0,0,2012-01-05,2020-03-19,260832,289641
1031,0,0,0,21,11,0,1,0,0,,100061,100327,2,0,3,0,0,2012-01-05,2020-03-19,498744,570017
1050,0,0,0,11,0,0,1,0,0,hours/day,100055,100329,2,0,3,0,0,2012-01-05,2020-03-19,498744,570017
1060,0,0,0,11,0,0,1,0,0,hours/day,100055,100329,2,0,3,0,0,2012-01-05,2020-03-19,498744,570017
1070,0,0,0,11,0,0,1,0,0,hours/day,100054,100329,2,0,3,0,0,2012-01-05,2020-03-19,501626,573786
1080,0,0,0,11,0,0,1,0,0,hours/day,100054,100329,2,0,3,0,0,2012-01-05,2020-03-19,498742,570015
1090,0,0,0,11,0,0,1,0,0,hours/day,100054,100329,2,0,3,0,0,2012-01-05,2020-03-19,501410,573543
1100,0,0,0,21,11,0,1,0,0,,100054,100334,2,0,3,0,0,2012-01-05,2020-03-19,501410,573543
1110,0,0,0,21,11,0,1,0,0,,100053,100335,2,0,3,0,0,2012-01-05,2020-03-19,501625,573785
1120,0,0,0,21,11,0,1,0,0,,100053,100336,2,0,3,0,0,2012-01-05,2020-03-19,428913,488624
1130,0,0,0,21,11,0,1,0,0,,100053,100337,2,0,3,0,0,2012-01-05,2020-03-19,428913,488624
1140,0,0,0,21,11,0,1,0,0,,100053,100338,2,0,3,0,0,2012-01-05,2020-03-19,428913,488624
1150,0,0,0,21,11,0,1,0,0,,100053,100339,2,0,3,0,0,2012-01-05,2020-03-19,428911,488622
1160,0,0,0,11,0,0,1,0,0,hours/day,100057,100291,2,0,3,0,0,2012-01-05,2020-03-19,501622,573782
1170,0,0,0,21,11,0,1,0,0,,100057,100341,2,0,3,0,0,2012-01-05,2020-03-19,498739,570012
1180,0,0,0,21,11,0,1,0,0,,100057,100342,2,0,3,0,0,2012-01-05,2020-03-19,498737,570010
1190,0,0,0,21,11,0,1,0,0,,100057,100343,2,0,3,0,0,2012-01-05,2020-03-19,501619,573779
1200,0,0,0,21,11,0,1,0,0,,100057,100343,2,0,3,0,0,2012-01-05,2020-03-19,501618,573778
1210,0,0,0,21,11,0,1,0,0,,100057,100345,2,0,3,0,0,2012-01-05,2020-03-19,501618,573778
1220,0,0,0,21,11,0,1,0,0,,100057,100346,2,0,3,0,0,2012-01-05,2020-03-19,501618,573778
1239,0,0,0,21,11,0,1,0,0,,100058,100347,2,0,3,0,0,2012-01-05,2020-03-19,501618,573778
1249,0,0,0,21,11,0,1,0,0,,100058,100348,2,0,3,0,0,2012-01-05,2020-03-19,463723,532840
1259,0,0,0,21,11,0,1,0,0,,100058,100370,2,0,3,0,0,2012-01-05,2020-03-19,461191,529470
1269,0,0,0,11,0,0,1,0,0,hours/week,100058,100291,2,0,3,0,0,2012-01-05,2020-03-19,464103,533240
1279,0,0,0,11,0,0,1,0,0,hours/week,100058,100291,2,0,3,0,0,2012-01-05,2020-03-19,464103,533240
1289,0,0,0,11,0,0,1,0,0,tablespoons/day,100052,100373,2,0,3,0,0,2012-01-05,2020-03-19,501616,573776
1299,0,0,0,11,0,0,1,0,0,tablespoons/day,100052,100373,2,0,3,0,0,2012-01-05,2020-03-19,501616,573776
1309,0,0,0,11,0,0,1,0,0,pieces/day,100052,100373,2,0,3,0,0,2012-01-05,2020-03-19,501616,573776
1319,0,0,0,11,0,0,1,0,0,pieces/day,100052,100373,2,0,3,0,0,2012-01-05,2020-03-19,501615,573775
1329,0,0,0,21,11,0,1,0,0,,100052,100377,2,0,3,0,0,2012-01-05,2020-03-19,501615,573775
1339,0,0,0,21,11,0,1,0,0,,100052,100377,2,0,3,0,0,2012-01-05,2020-03-19,501615,573775
1349,0,0,0,21,11,0,1,0,0,,100052,100377,2,0,3,0,0,2012-01-05,2020-03-19,501614,573774
1359,0,0,0,21,11,0,1,0,0,,100052,100377,2,0,3,0,0,2012-01-05,2020-03-19,501614,573774
1369,0,0,0,21,11,0,1,0,0,,100052,100377,2,0,3,0,0,2012-01-05,2020-03-19,501614,573774
